scheme,name,total,hit,miss,IPC
ehc,GemsFDTD,,,,
ehc,astar,,,,
ehc,bwaves,2454486,139935,2314551,0.822946 
ehc,bzip2,,,,
ehc,cactusADM,1107770,339003,768767,0.481358 
ehc,calculix,,,,
ehc,gamess,27153,26549,604,0.94275 
ehc,gcc,,,,
ehc,gobmk,532045,489888,42157,0.431383 
ehc,gromacs,227220,224725,2495,1.01726 
ehc,h264ref,267521,184866,82655,0.92255 
ehc,sphinx3,,,,
ehc,zeusmp,832357,115995,716362,1.43754 
hawkeye,GemsFDTD,5406497,372750,5033747,0.62921 
hawkeye,astar,526494,297868,228626,0.493083 
hawkeye,bwaves,2454514,148227,2306287,0.823258 
hawkeye,bzip2,1591767,1445084,146683,0.906436 
hawkeye,cactusADM,1107672,349176,758496,0.481139 
hawkeye,calculix,1502469,1411728,90741,1.96903 
hawkeye,gamess,27153,26549,604,0.94275 
hawkeye,gcc,3443634,495727,2947907,0.212403 
hawkeye,gobmk,532043,492205,39838,0.43158 
hawkeye,gromacs,227220,224725,2495,1.01726 
hawkeye,h264ref,267501,186350,81151,0.922625 
hawkeye,sphinx3,1613708,834488,779220,1.02166 
hawkeye,zeusmp,832495,153259,679236,1.44946 
perceptron,GemsFDTD,5406505,277868,5128637,0.620322 
perceptron,astar,526494,302624,223870,0.490001 
perceptron,bwaves,2453932,151683,2302249,0.822588 
perceptron,bzip2,1592678,1419186,173492,0.904823 
perceptron,cactusADM,1113041,148993,964048,0.479206 
perceptron,calculix,1502473,1368712,133761,1.92642 
perceptron,gamess,27153,26547,606,0.942748 
perceptron,gcc,3443503,378183,3065320,0.211247 
perceptron,gobmk,532160,481185,50975,0.430443 
perceptron,gromacs,227220,224473,2747,1.01717 
perceptron,h264ref,267614,199344,68270,0.918502 
perceptron,sphinx3,1613627,845573,768054,1.0018 
perceptron,zeusmp,832390,115449,716941,1.42758 
both,GemsFDTD,,,,
both,astar,,,,
both,bwaves,2454135,150430,2303705,0.822526 
both,bzip2,,,,
both,cactusADM,1112600,147451,965149,0.479204 
both,calculix,,,,
both,gamess,27153,26547,606,0.942748 
both,gcc,,,,
both,gobmk,532128,476106,56022,0.43042 
both,gromacs,227220,224473,2747,1.01717 
both,h264ref,267641,196842,70799,0.917738 
both,sphinx3,,,,
both,zeusmp,832978,78053,754925,1.41895 
